,Article,Topic
298,cancer death rates have steadily declined among black people but remain higher than other racial and ethnic groups government study released thursday shows cancer deaths have been dropping for all americans for the past two decades because lower smoking rates and advances early detection and treatment the rates among black people fell each year from from cancer deaths per deaths per according the report published online jama oncology the highest cancer death rates were black men deaths per almost double the lowest rate asian americans and pacific islanders the rate for white men was deaths per for hispanic men was deaths per and deaths per among native american men earlier report from the american cancer society found the racial gap was narrowing mostly because bigger decline cigarette smoking among black people the new study based analysis death certificates deaths from most cancers dropped black men and women the biggest declines were lung cancer among black men and stomach cancer black women both are linked with declines smoking which contributes many other cancers liver cancer deaths increased among older men and women and uterine cancer death rates increased among women aged both cancers are strongly linked with obesity the persistently higher death rate among black americans remains concern and likely reflects social and economic disparities including poverty less access care and mistrust doctors said national cancer institute researcher wayne lawrence who led the study “it’s showing that can’t simply rely medical care way address and eliminate the disparities’’ said carla williams howard university expert cancerrelated health disparities who had role the research cancer prevention expert otis brawley johns hopkins university noted that other data show black americans get worse cancer care than white people thats part because they’re more likely treated hospitals with overworked doctors and fewer resources and less likely have college degree said evidence suggests that people with college degrees are more likely exercise not obese and seek medical care when they notice changes that could signal cancer brawley said,Medicine
41,thompson says gerrard should stay liverpool legend phil thompson has pleaded with steve gerrard reject any overtures from chelsea the exreds assistant boss also warned that any honours won chelsea would cheapened the bid buy success told bbc radio five live liverpool would think about any bid made but will all down steve the end but wouldnt have that same sweet feeling chelsea where its all moneyorientated and about simply buying the best thompson reacted sharply some liverpool supporters who criticised gerrards performance the carling cup final against chelsea number fans questioned gerrards commitment and sarcastically branded his own goal liverpools defeat his first goal for chelsea thompson added heard those comments from socalled supporters and they were diabolical absolutely outrageous stevie carried the club last year and this year hes always put liverpool first thompson who savoured seven titlewinning seasons and two european cup triumphs during his anfield playing career confident that the lure champions league football will keep gerrard anfield hope champions league football will beckon for liverpool either winners finishing fourth the premiership and will commit himself there has been lot soulsearching the way things have gone lately hope hes hardening the fact will have big decisions make but hope the benefit steven gerrard and hope worthwhile for liverpool,Sports
158,astrocytes make almost half the mammalian brain cells they are called glial cells because scientists originally thought that these starlightshaped structures serve “nerve glue” research suggests that these cells control the growth axons the neuronal projections that carry electrical impulses however scientists still considered astrocytes supporting actors behind neurons which are the primary cells the brain and nervous system now scientists tufts university massachusetts and other institutions realize that astrocytes may execute significantly greater performance brain activity moritz armbruster research assistant professor neuroscience tufts led team researchers harnessing novel technology study astrocyteneuron exchanges their surprise the scientists observed electrical activity astrocyte processes within mouse brain tissue they reported “this represents novel class subcellular astrocyte membrane dynamics and new form astrocyte–neuron interaction” armbruster and his fellow authors published their findings nature neuroscience new technology new insight using innovative tools the tufts team developed technique detect and observe electrical activity brain cell interactions these properties could not seen before now chris dulla corresponding author the study associate professor neuroscience the tufts university school medicine and graduate school biomedical sciences explained that and his colleagues “…use viruses express fluorescent proteins the mouse brain and that’s what lets measure this activity” interview with medical news today elaborated “we had other experiments that made think that this new type activity must happening astrocytes just didn’t have way show it… developed these new techniques image the activity the astrocytes and using them showed that this thing that thought must happening actually was happening”,Medicine
267,35ton shipment hypoallergenic baby formula from switzerland arrived the united states sunday the first delivery what the biden administration calling operation fly formula deal with nationwide shortage the pallets formula arrived indianapolis military c17 cargo plane from germany and will fed babies intolerant the protein supplied cows milk cnn reported the shipment nestle health science formula expected provide enough formula for babies and toddlers for one week agriculture secretary tom vilsack said greeted the delivery indianapolis large shipment very specific and specialized formula formula for moms and dads who have children who have allergies where the regular formula just simply will not work vilsack said news briefing none the shipment will for sale store shelves because its designated for these babies most need second shipment pallets gerber good start extensive infant formula expected take place soon according the white house all told these first rounds shipments are expected the equivalent million doses eightounce bottles cnn said president joe biden announced operation fly formula last week directing the federal government import formula from overseas sunday the administration also announced two priority orders under the defense production act for infant formula from reckitt and abbott nutrition the authorizations under the act will help the companies more quickly receive the raw materials needed produce formula faced with mounting pressure help desperate parents biden last wednesday invoked the power the wartime defense production act get more the precious product into american homes under the new powers the federal government can use commercial aircraft air cargo planes owned the defense department transport infant formula from countries abroad and fly into the united states getting more rapidly onto store shelves the food and drug administration also announced last week that was expediting the approvals process that foreign suppliers baby formula could quickly get their products into the united states know parents all across the country are worried about finding enough infant formula feed their babies parent and grandparent know just how stressful that biden said video posted twitter last week said was ordering his administration everything possible ensure theres enough safe baby formula and that its quickly reaching families that need the most early last week the fda also announced that abbott nutrition baby formula manufacturing facility michigan that has been closed since february due safety issues will likely soon resume operations helping further boost supply,Medicine
168,the role the immune system the immune system extensive network cells and biological processes that protects against infection and helps repair damaged tissue the body also key maintaining metabolic homeostasis and heavily integrated into the body’s metabolic pathways the immune system present all organs has extensive sensory capabilities and possesses vast repertoire different molecules used for communication and effector functions most importantly the immune system has the ability learn adapt and remember the underlying factor the function vaccinations there are many different cells within the innate immune system and the adaptive immune system these cells must collaborate orchestrate combined immune response given threat exposure the microbiome’s contribution the microbiome plays important role regulating and directing the immune response the host the microbiome’s role significant because least half the cells the body are microbes that produce metabolites that interact with the host body’s systems for example supporting the digestion food the microbiome’s bacterial communities are highly dependent individual’s diet fundamentally individual who consumes varied diet that changes over time will develop robust and diverse immune response each foodstuff entering the digestive system will require specific series bacteria digest this should person stop eating certain type food the respective bacteria decrease number but small population will generally remain the gastrointestinal tract these changes can challenging for the immune system because each food type must accommodated and responded appropriately there are different antigens ‘danger signals’ associated with the microbes that utilize the foods well the foods themselves the immune system must recognize and respond these appropriate typically nonaggressive manner while developing effective and balanced response over time diversity the microbiome important the presence more than one microbe able metabolize specific food type ensures buffer functional redundancy this important maintaining host metabolism well immune system development and protection reductions microbiome diversity reduction the diversity food consumed andor reduction the diversity the microbiome essentially leads loss antigen exposures and tolerance adjuvants tolerance inducing signals missing some these microbes toleranceassociated metabolites can cause issues the immune system throughout human evolution the immune system has been hardwired respond these toleranceinducing signals the immune system does not ‘know’ how respond these signals this can result overreactive immune response which can cause inflammation recent studies have shown that there decrease microbiome diversity particularly when comparing changes postindustrialized populations with preindustrialized populations microbes that are important for inducing immuneregulatory responses have potentially been lost,Medicine
209,umaga ready for fearsome lions all blacks captain tama umaga has warned the british and irish lions will his most fearsome opponents yet ahead their summer tour but umaga england for saturdays irb rugby aid match also backed new zealand win the threetest series against the lions told bbc sport its potentially the most fearsome lineup ive ever come against theyre awesome but back all the way beat them when they come over lions boss sir clive woodward set announce his squad for the junejuly tour next month when woodward was appointed last year was widely believed would rely heavily his former england players but umaga said hed hard pushed that now considering the shape the six nations dont get wrong england have got lot talented guys and sure there are some them wholl make the lions test but you cant disguise wales and ireland particular some the tries theyve scored have been great ill admit itll fairly awesome lining against the likes brian odriscoll umaga will meet odriscoll saturdays rugby aid match twickenham with the irish captain leading the northern hemisphere side odriscoll among host players the northern hemisphere squad coached woodward that are tipped for lions callups itll good for get early idea some these guys although lot can change between now and june umaga said the 31yearold admitted interest the lions tour was immense calling the biggest thing hit new zealand since lord the rings added players its enough for driven the rarity playing the lions fact its not just all blacks its the talk the country umaga admitted the fear injury weighed his mind ahead saturdays charity game which features host big names including george gregan andrew mehrtens and chris latham but admitted the value the cause proceeds the match will aiding victims the tsunami easily won him over the second southern hemisphere coach rod macqueen made the approach didnt hesitate was great when new zealand rugby then gave the all clear thankfully didnt know anyone that was involved the tragedy the tsunami but you couldnt miss all the horrific reports the news there are many people that were affected are still affected and will affected for long time its just good know can something minor help out the match will televised bbc one gmt saturday,Sports
19,edu describes tunnel fracas arsenals edu has lifted the lid the scenes that followed manchester uniteds win over the gunners the brazilian confirmed tempers had flared but could shed light reports that food was thrown united boss sir alex ferguson saw people being pulled apart people pushing pointing and shouting told uefas official website the united players were trying wind about the result but didnt see any soup being thrown anyone however edu tried play down the incidents adding there was nothing that havent seen brazilian derbies derby matches brazil are worse like play games like this with this intense rivalry but edu was highly critical the ferocity some uniteds challenges during the game particularly jose antonio reyes think were lot fairer the tackles than united said reyes was being kicked all over the park they were beating the boy and gary neville was tackling such way that should have been sent off following the game the football association said would look into events the tunnel also charged ruud van nistelrooy with serious foul play while arsenal boss arsene wenger has been asked explain comments made about the referee,Sports
75,china keeps tight rein credit chinas efforts stop the economy from overheating clamping down credit will continue into state media report the curbs were introduced earlier this year ward off the risk that rapid expansion might lead soaring prices there were also fears that too much stress might placed the fragile banking system growth china remains breakneck and corporate investment growing more than year the breakneck pace economic expansion has kept growth above for more than year rapid toolingup chinas manufacturing sector means massive demand for energy one the factors which has kept world oil prices skyhigh for most this year theory the government has growth target but continues insist that the overshoot does not mean hard landing the shape overbalancing economy low exchange rate chinas yuan pegged rate the dollar which seems relentless decline means chinese exports are cheap world markets china has thus far resisted international pressure break the link least shift the level its peg some extent the credit controls seem taking effect industrial output grew the year october down from february and inflation slowed although retail sales are still booming,Economics
32,pga championship live latest updates news and highlights from round four southern hills mito pereira takes threeshot lead into the final round southern hills with matt fitzpatrick and will zalatoris tiedsecond justin thomas starts seven back and rory mcilroy begins nine behind while tiger woods withdraws after thirdround,Sports
212,harinordoquy suffers france axe number eight imanol harinordoquy has been dropped from frances squad for the six nations match with ireland dublin march harinordoquy was secondhalf replacement last saturdays defeat wales bourgoin lock pascal pape who has recovered from sprained ankle returns the 22man squad wing cedric heymans and ludovic valbon come for aurelien rougerie and jeanphilippe grandclaude rougerie hurt his chest against wales while grandclaude was secondhalf replacement against both england and wales valbon capped last junes tests against the united states and canada was second half replacement the win over scotland france coach bernard laporte said harinordoquy had been axed after poor display last weekend imanol has been dropped from the squad because the least can say that didnt make thundering comeback against wales said laporte know the ireland game will fast and rough and also want able replace both locks during the game needed and gregory lamboley can also come number seven eight the grand slam gone but well ireland win will very exciting game because ireland have three wins under their belt have just defeated england and have their eyes set grand slam france who lost wales last week must defeat the irish keep alive their hopes retaining the six nations trophy ireland are unbeaten this years tournament and have their sights set first grand slam since dimitri yachvili biarritz pierre mignoni clermont yann delaigue castres frederic michalak stade toulousain damien traille biarritz yannick jauzion stade toulousain ludovic valbon biarritz christophe dominici stade francais cedric heymans stade toulousain julien laharrague brive sylvain marconnet stade francais nicolas mas perpignan olivier milloud bourgoin sebastien bruno saleeng william servat stade toulousain fabien pelous stade toulousain capt jerome thion biarritz pascal pap233 bourgoin gregory lamboley stade toulousain serge betsen biarritz julien bonnaire bourgoin yannick nyanga b233ziers,Sports
